The One Where Monica Gets a Roommate,4178,8.5,S1,1
The One with the Sonogram at the End,2985,8.2,S1,2
The One with the Thumb,2788,8.3,S1,3
The One with George Stephanopoulos,2695,8.3,S1,4
The One with the East German Laundry Detergent,2652,8.6,S1,5
The One with the Butt,2582,8.3,S1,6
The One with the Blackout,3370,9.0,S1,7
The One Where Nana Dies Twice,2486,8.2,S1,8
The One Where Underdog Gets Away,2410,8.3,S1,9
The One with the Monkey,2435,8.2,S1,10
The One with Mrs. Bing,2396,8.3,S1,11
The One with the Dozen Lasagnas,2356,8.3,S1,12
The One with the Boobies,2517,8.7,S1,13
The One with the Candy Hearts,2317,8.4,S1,14
The One with the Stoned Guy,2382,8.4,S1,15
The One with Two Parts: Part 1,2338,8.3,S1,16
The One with Two Parts: Part 2,2355,8.5,S1,17
The One with All the Poker,2673,8.9,S1,18
The One Where the Monkey Gets Away,2247,8.2,S1,19
The One with the Evil Orthodontist,2252,8.1,S1,20
The One with the Fake Monica,2274,8.0,S1,21
The One with the Ick Factor,2241,8.4,S1,22
The One with the Birth,2356,8.7,S1,23
The One Where Rachel Finds Out,2526,8.9,S1,24
The One with Ross's New Girlfriend,2303,8.6,S2,1
The One with the Breast Milk,2217,8.3,S2,2
The One Where Heckles Dies,2228,8.4,S2,3
The One with Phoebe's Husband,2162,8.1,S2,4
The One with Five Steaks and an Eggplant,2159,8.3,S2,5
The One with the Baby on the Bus,2344,8.7,S2,6
The One Where Ross Finds Out,2618,9.0,S2,7
The One with the List,2168,8.5,S2,8
The One with Phoebe's Dad,2090,8.1,S2,9
The One with Russ,2219,8.2,S2,10
The One with the Lesbian Wedding,2165,8.2,S2,11
The One After the Superbowl: Part 1,2295,8.7,S2,12
The One After the Superbowl: Part 2,2363,8.8,S2,13
The One with the Prom Video,3613,9.4,S2,14
The One Where Ross and Rachel... You Know,2459,8.9,S2,15
The One Where Joey Moves Out,2095,8.6,S2,16
The One Where Eddie Moves In,2089,8.4,S2,17
The One Where Dr. Ramoray Dies,2087,8.6,S2,18
The One Where Eddie Won't Go,2153,8.7,S2,19
The One Where Old Yeller Dies,2005,8.3,S2,20
