PLAYERUNKNOWN'S BATTLEGROUNDS,2367018,766379192
Counter-Strike: Global Offensive,639968,253701225
Dota 2,832550,342584735
PAYDAY 2,83086,30857266
Team Fortress 2,97248,39571087
Warframe,121377,42673375
Rocket League,73684,27217071
ARK: Survival Evolved,68570,27699202
Grand Theft Auto V,77953,28245415
Rust,49984,18413674
Total War: WARHAMMER II,72112,18815876
Garry's Mod,50280,18656368
Tom Clancy's Rainbow Six Siege,60547,23457592
Sid Meier's Civilization V,42065,18180903
Football Manager 2017,51700,21425057
H1Z1,67723,23877989
Paladins,41204,15222294
Fallout 4,35886,13524279
Arma 3,32097,12094398
Dead by Daylight,33148,10113886
Divinity: Original Sin 2,80081,23228861
Sid Meier's Civilization VI,30229,10711668
Terraria,27296,11742179
Assassin's Creed Origins,29559,405503
Euro Truck Simulator 2,26134,8513550
The Witcher 3: Wild Hunt,33188,8140518
The Elder Scrolls V: Skyrim,25353,10070867
Middle-earth™: Shadow of War™,67943,13238924
Unturned,28121,10607884
Hearts of Iron IV,18658,7102473
Europa Universalis IV,17743,7145055
Path of Exile,31448,11913541
Wolfenstein II: The New Colossus,13954,198446
Counter-Strike,20123,8106444
War Thunder,18470,7766959
Cities: Skylines,22277,5731289
Black Desert Online,17399,9347886
SMITE,15118,5865676
7 Days to Die,15752,6579812
Stellaris,25225,8495168
The Elder Scrolls Online: Tamriel Unlimited,13437,5576220
Brawlhalla,12675,4117686
Grim Dawn,20415,4929832
The Elder Scrolls V: Skyrim Special Edition,18622,7176899
Age of Empires II: HD Edition,13034,5295881
ELEX,22871,2304489
FINAL FANTASY XIV Online,12435,5184838
Factorio,11915,5000841
Stardew Valley,13654,5889930
Clicker Heroes,9411,5421335
Borderlands 2,11901,4499037
Left 4 Dead 2,15227,5557781
Cuphead,19076,5799460
Farming Simulator 17,13795,4419790
Mount & Blade: Warband,10580,4093845
Spacewar,13324,4610954
Football Manager 2016,10290,4283081
Total War: ROME II - Emperor Edition,9796,3870305
Black Squad,9464,3900870
RimWorld,9188,4205841
Total War: WARHAMMER,14361,4014778
XCOM 2,14500,4855762
Don't Starve Together,12256,4318023
The Binding of Isaac: Rebirth,8206,3960026
Counter-Strike: Source,8721,3366435
NBA 2K18,17941,6564413
DARK SOULS™ III,11558,4521820
Eventide Night,4967,13821
Elite Dangerous,9981,3414178
Killing Floor 2,7988,2259460
Crusader Kings II,6865,2743694
Fallout: New Vegas,7356,2660561
The Forest,6810,2283464
South Park The Fractured But Whole,21483,2466661
World of Tanks Blitz,15471,4696464
Middle-earth™: Shadow of Mordor™,10684,3623414
