Nome,Seeders,Leechers,Tipo
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,479,937,1
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,387,103,1
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,368,17,1
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,371,26,1
 Bushwick.2017.720p.WEB-DL.750MB.MkvCage,535,268,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1004,854,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1087,673,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1136,475,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1508,578,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1805,606,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,2191,736,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1703,422,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1307,286,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1047,200,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1061,197,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1203,292,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,988,207,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,910,197,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1026,221,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,827,122,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,743,115,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,756,138,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,915,146,1
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,594,87,1
