Nome,seeders,leechers
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,479,937
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,387,103
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,368,17
 Arjun Reddy (2017) Telugu DVDScr 700MB - x264 Clear Audio,371,26
 Bushwick.2017.720p.WEB-DL.750MB.MkvCage,535,268
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1004,854
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1087,673
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1136,475
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1508,578
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1805,606
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,2191,736
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1703,422
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1307,286
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1047,200
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1061,197
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1203,292
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,988,207
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,910,197
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,1026,221
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,827,122
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,743,115
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,756,138
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,915,146
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,594,87
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,539,75
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,670,127
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,687,146
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,670,127
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,533,63
 Captain.Underpants.The.First.Epic.Movie.2017.1080p.BRRip.6CH.Mk,647,111
